3014,ham,O was not into fps then.
11509,ham,Then any special there?
10856,ham,Ok i go change also...
6178,ham,Are you this much buzy
2654,ham,Y so late but i need to go n get da laptop...
4151,ham,Lol u still feeling sick?
10996,ham,University of southern california.
11058,ham,Yes:)here tv is always available in work place..
8549,ham,God picked up a flower and dippeditinaDEW  lovingly touched itwhichturnedinto u  and the he gifted tomeandsaid THIS FRIEND IS 4U
5793,ham,It's wylie  you in tampa or sarasota?
8490,ham,Yes.. now only saw your message..
8063,ham,Lmao but its so fun...
4551,ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... 
1194,ham,I met you as a stranger and choose you as my friend. As long as the world stands  our friendship never ends. Lets be Friends forever!!! Gud nitz...
7238,ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
7357,ham,What makes you most happy?
1796,ham,What he said is not the matter. My mind saying some other matter is there.
11217,ham,Check wid corect speling i.e. Sarcasm
3553,ham,Think i might have to give it a miss. Am teaching til twelve  then have lecture at two. Damn this working thing.
3676,ham,There is no sense in my foot and penis.
9252,ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
6888,ham,I am on the way to ur home
2429,spam,Hottest pics straight to your phone!! See me getting Wet and Wanting  just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX
6228,ham,Mum not going robinson already.
9404,ham,Funny fact Nobody teaches volcanoes 2 erupt  tsunamis 2 arise  hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens
9886,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
4661,ham,Hi dear we saw dear. We both are happy. Where you my battery is low
6180,spam,Marvel Mobile Play the official Ultimate Spider-man game (Â£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
1611,ham,I just got home babe  are you still awake ?
3246,ham,Em  its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary  everything is a blessing
7571,ham,Gud mrng dear have a nice day
1420,ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
10345,spam,You've won tkts to the EURO2004 CUP FINAL or Â£800 CASH  to collect CALL 09058099801 b4190604  POBOX 7876150ppm
5508,ham,Will do. Have a good day
913,ham,Hi the way I was with u 2day  is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.
10004,ham,Hey morning what you come to ask:-) pa...
5873,ham,Its too late:)but its k.wish you the same.
9492,ham,I need an 8th but I'm off campus atm  could I pick up in an hour or two?
6230,ham,We are both fine. Thanks
942,ham,Where u been hiding stranger?
991,ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
6057,ham,Arun can u transfr me d amt
1843,ham,No shoot me. I'm in the docs waiting room. :/
9671,ham,So when do you wanna gym harri
1857,ham,Am also doing in cbe only. But have to pay.
11160,ham,Cold. Dont be sad dear
8399,ham,Aight do you still want to get money
8068,ham,Where you. What happen
10683,ham,So anyways  you can just go to your gym or whatever  my love *smiles* I hope your ok and having a good day babe ... I miss you so much already
5399,ham,its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter  you got enough?
10047,ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
2688,spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
2265,ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
7605,ham,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
4324,ham,Nothing spl..wat abt u and whr ru?
8192,ham,Dear good morning now only i am up
11227,ham,Hi mom we might be back later than  # 
1831,ham,have got * few things to do. may be in * pub later.
7974,spam,Hi  the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service
3654,spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
